"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2061.472",85.078519499555,43.4069006961396,126.75013830297,21.3472782229168,148.809760776193
"2061.614",98.2607862653136,50.1283694872938,146.393203043333,24.6486071613842,171.872965369243
"2061.757",72.3509847387616,36.9072455479682,107.794723929555,18.1444633945619,126.557506082961
"2061.900",5.19167811856072,2.64812290479405,7.73523333232738,1.30164610915559,9.08171012796584
"2062.043",98.1589371344559,50.0636786400229,146.254195628889,24.6035867212445,171.714287547667
"2062.186",77.8611743496804,39.7077908438345,116.014557855526,19.5106096355522,136.211739063809
"2062.329",83.7635476938427,42.714077391466,124.813017996219,20.9838004404305,146.543294947255
"2062.472",84.6468218630738,39.8009923462788,129.492651379869,16.0610442222111,153.232599503937
"2062.614",97.7617330867353,45.9632743576537,149.560191815817,18.5428266508155,176.980639522655
"2062.757",71.9831792792199,33.8400661290685,110.126292429371,13.6483217186788,130.318036839761
"2062.900",5.16526078939449,2.42800637825172,7.90251520053726,0.978991421385587,9.35153015740339
"2063.043",97.658996184439,45.9014588730738,149.416533495804,18.5026736562423,176.815318712636
"2063.186",77.4642407891662,36.4058713090742,118.522610269258,14.6708834179226,140.25759816041
"2063.329",83.3361223880974,39.1614383829728,127.510806393222,15.7767732317575,150.895471544437
"2063.472",84.2180549721271,36.387526450714,132.04858349354,11.0675741144586,157.368535829796
"2063.614",97.2660644263993,42.020442805781,152.511686047018,12.7751772930942,181.756951559704
"2063.757",71.6178656555553,30.9365452993473,112.299186011763,9.40115515758902,133.834576153522
"2063.900",5.13902224932795,2.2196336228608,8.05841087579509,0.674202636455081,9.60384186220082
"2064.043",97.162435270563,41.9612806778646,152.363589863261,12.7395545878494,181.585315953277
"2064.186",77.0699880667781,33.2800800835799,120.859896049976,10.0991030545008,144.040873079055
"2064.329",82.9115808666712,35.7982805988513,130.024881134491,10.8580059654476,154.965155767895
"2064.472",83.7922044689485,33.1317241878092,134.452684750088,6.31368588250392,161.270723055393
"2064.614",96.7737636839479,38.2597084194751,155.287818948421,7.28423864948945,186.263288718406
"2064.757",71.2550316314097,28.1671087936025,114.342954469217,5.35774025331729,137.152323009502
"2064.900",5.11296161936634,2.02088255345482,8.20504068527786,0.384034770479501,9.84188846825318
"2065.043",96.6692377556589,38.2030232865447,155.135452224773,7.25287890383053,186.085596607487
"2065.186",76.6784029713284,30.2985939958357,123.058211946821,5.74660619795102,147.610199744706
"2065.329",82.4899089014427,32.590369896455,132.38944790643,6.1751495703452,158.80466823254
"2065.472",83.3692560970843,30.0077140832056,136.730798110963,1.75982006765804,164.978692126511
"2065.614",96.2848143760088,34.6511913784071,157.91843737361,2.02432220401839,190.545306547999
"2065.757",70.894665056545,25.5097558506514,116.279574262439,1.4844361771702,140.30489393592
